date,HICP,Unemployment,Energy_Prices,Euribor
2000-01-01,3.1,,7.4,3.4084000000000003
2000-02-01,2.9,14.9,8.0,3.60354
2000-03-01,3.1,14.2,6.7,3.81006
2000-04-01,3.0,14.5,5.7,3.9696799999999994
2000-05-01,2.8,13.9,5.6,4.36752
2000-06-01,3.1,14.0,6.4,4.56248
2000-07-01,4.0,13.9,8.7,4.64822
2000-08-01,4.4,14.3,8.0,4.80598
2000-09-01,4.7,14.2,8.9,4.87964
2000-10-01,5.4,14.1,10.6,4.99594
2000-11-01,5.7,14.4,11.6,5.03402
2000-12-01,5.0,14.3,8.1,4.9029799999999994
2001-01-01,5.6,14.4,10.5,4.71608
2001-02-01,6.0,13.9,8.6,4.76112
2001-03-01,5.7,14.0,8.4,4.66282
2001-04-01,6.3,14.2,9.3,4.71472
2001-05-01,6.8,13.6,10.7,4.6064
2001-06-01,6.7,12.9,10.6,4.4377
2001-07-01,5.9,13.1,8.8,4.4391
2001-08-01,5.8,12.6,6.8,4.32838
2001-09-01,5.7,12.7,5.5,3.9332000000000003
2001-10-01,4.8,11.6,3.9,3.62376
2001-11-01,4.2,11.9,1.2,3.35602
2001-12-01,4.2,11.5,1.1,3.33114
2002-01-01,4.3,11.6,0.9,3.36118
2002-02-01,4.5,11.6,2.1,3.39352
2002-03-01,4.4,11.2,1.6,3.4632199999999997
2002-04-01,4.5,10.7,8.2,3.4909999999999997
2002-05-01,4.1,10.5,7.6,3.5480400000000003
2002-06-01,3.8,11.2,6.7,3.5310200000000003
2002-07-01,3.3,11.4,6.1,3.44026
2002-08-01,2.7,11.2,8.1,3.35952
2002-09-01,2.7,11.3,8.2,3.2903999999999995
2002-10-01,3.1,11.8,9.9,3.23224
2002-11-01,3.0,11.5,10.4,3.1427799999999997
2002-12-01,2.7,11.9,10.4,2.9558799999999996
2003-01-01,2.5,11.4,9.2,2.7872
2003-02-01,2.3,11.2,11.1,2.66142
2003-03-01,2.1,11.1,12.3,2.54838
2003-04-01,1.2,10.8,4.1,2.5173
2003-05-01,0.7,11.1,1.0,2.4076999999999997
2003-06-01,0.5,11.0,-1.4,2.12804
2003-07-01,0.9,10.5,-2.2,2.1015
2003-08-01,1.4,10.1,-2.2,2.1623
2003-09-01,1.5,9.1,1.0,2.14588
2003-10-01,1.2,9.3,0.0,2.1467400000000003
2003-11-01,1.2,9.4,0.0,2.1706399999999997
2003-12-01,1.2,10.4,-0.4,2.18296
2004-01-01,0.7,10.6,-0.1,2.1037
2004-02-01,0.6,10.0,-0.5,2.08232
2004-03-01,0.7,9.7,-1.3,2.03016
2004-04-01,1.5,9.6,1.2,2.0806199999999997
2004-05-01,3.7,9.9,11.0,2.1191000000000004
2004-06-01,4.4,9.7,14.6,2.1619
2004-07-01,4.0,10.0,12.4,2.1616
2004-08-01,3.9,10.4,13.8,2.14058
2004-09-01,3.8,10.2,9.6,2.1651
2004-10-01,4.0,10.3,11.0,2.17032
